exercise_id,name,type,muscle_group,equipment
1,Barbell Squat,Strength,Quadriceps,Barbell
2,Push-Ups,Strength,Chest,Bodyweight
3,Deadlift,Strength,Hamstrings,Barbell
4,Bicep Curl,Hypertrophy,Biceps,Dumbbells
5,Yoga Downward Dog,Flexibility,Full Body,Yoga Mat
6,Running,Cardio,Legs,Treadmill
7,Pull-Ups,Strength,Back,Pull-Up Bar
8,Plank,Strength,Core,Bodyweight
9,Lateral Raises,Hypertrophy,Shoulders,Dumbbells
10,Pilates Roll-Up,Flexibility,Core,Pilates Mat
11,Burpees,Cardio,Full Body,Bodyweight
12,Leg Press,Hypertrophy,Quadriceps,Leg Press Machine
13,Hamstring Stretch,Flexibility,Hamstrings,Bodyweight
14,Rowing Machine,Cardio,Back,Rowing Machine
15,Bench Press,Strength,Chest,Barbell
16,Back Squat,Strength,Quadriceps,Barbell
17,Overhead Press,Strength,Shoulders,Barbell
18,Romanian Deadlift,Strength,Hamstrings,Barbell
19,Front Squat,Strength,Quadriceps,Barbell
20,Weighted Pull-Ups,Strength,Back,Pull-Up Bar + Weight Belt
21,Dips,Strength,Chest,Parallel Bars
22,Farmer’s Walk,Strength,Forearms,Dumbbells/Kettlebells
23,Zercher Squat,Strength,Quadriceps,Barbell
24,Clean & Jerk,Strength,Full Body,Barbell
25,Snatch,Strength,Full Body,Barbell
26,Bulgarian Split Squat,Strength,Quadriceps,Dumbbells
27,Incline Bench Press,Strength,Chest,Barbell
28,Pendlay Row,Strength,Back,Barbell
29,Hanging Leg Raise,Strength,Core,Pull-Up Bar
30,Kettlebell Swing,Strength,Glutes,Kettlebell
31,Dumbbell Fly,Hypertrophy,Chest,Dumbbells
32,Leg Extension,Hypertrophy,Quadriceps,Machine
33,Cable Crossover,Hypertrophy,Chest,Cable Machine
34,Preacher Curl,Hypertrophy,Biceps,EZ Bar + Bench
35,Tricep Rope Pushdown,Hypertrophy,Triceps,Cable Machine
36,Seated Calf Raise,Hypertrophy,Calves,Machine
37,Lat Pulldown (Wide Grip),Hypertrophy,Back,Cable Machine
